case,round-1
single-trigger-more-than-four-chunks,PASS
stable-job-id-and-monotonic-index,PASS
provider-overflow-capacity-learning,PASS
generation-capacity-reuse,PASS
engine-restart-capacity-recovery,PASS
envelope-fingerprint-invalidation,PASS
durable-metric-semantics,PASS
per-chunk-atomicity,PASS
oversized-unit-termination,PASS
non-shrinking-termination,PASS
cancellation-termination,PASS
no-progress-termination,PASS
existing-pressure-overflow-manual-regressions,PASS
typescript-typecheck,PASS
coverage-gate,PASS
package-build,PASS
package-dry-run-contents,PASS
